date,tournament,opponent,scored,conceded,is_home,neutral,city,country
2013-11-19,Friendly,Republic of Ireland,0,0,True,False,Poznań,Poland
2014-01-18,Friendly,Norway,3,0,False,True,Abu Dhabi,United Arab Emirates
2014-01-20,Friendly,Moldova,1,0,False,True,Abu Dhabi,United Arab Emirates
2014-03-05,Friendly,Scotland,0,1,True,False,Warsaw,Poland
2014-05-13,Friendly,Germany,0,0,False,False,Hamburg,Germany
2014-06-06,Friendly,Lithuania,2,1,True,False,Gdańsk,Poland
2014-09-07,UEFA Euro qualification,Gibraltar,7,0,False,True,Faro,Portugal
2014-10-11,UEFA Euro qualification,Germany,2,0,True,False,Warsaw,Poland
2014-10-14,UEFA Euro qualification,Scotland,2,2,True,False,Warsaw,Poland
2014-11-14,UEFA Euro qualification,Georgia,4,0,False,False,Tbilisi,Georgia
2015-03-29,UEFA Euro qualification,Republic of Ireland,1,1,False,False,Dublin,Republic of Ireland
2015-06-13,UEFA Euro qualification,Georgia,4,0,True,False,Warsaw,Poland
2015-06-16,Friendly,Greece,0,0,True,False,Gdańsk,Poland
2015-09-04,UEFA Euro qualification,Germany,1,3,False,False,Frankfurt am Main,Germany
2015-09-07,UEFA Euro qualification,Gibraltar,8,1,True,False,Warsaw,Poland
2015-10-08,UEFA Euro qualification,Scotland,2,2,False,False,Glasgow,Scotland
2015-10-11,UEFA Euro qualification,Republic of Ireland,2,1,True,False,Warsaw,Poland
2015-11-13,Friendly,Iceland,4,2,True,False,Warsaw,Poland
2015-11-17,Friendly,Czech Republic,3,1,True,False,Wrocław,Poland
2016-03-23,Friendly,Serbia,1,0,True,False,Poznań,Poland
2016-03-26,Friendly,Finland,5,0,True,False,Wrocław,Poland
2016-06-01,Friendly,Netherlands,1,2,True,False,Gdańsk,Poland
2016-06-06,Friendly,Lithuania,0,0,True,False,Cracow,Poland
2016-06-12,UEFA Euro,Northern Ireland,1,0,False,True,Nice,France
2016-06-16,UEFA Euro,Germany,0,0,False,True,Saint-Denis,France
2016-06-21,UEFA Euro,Ukraine,1,0,False,True,Marseille,France
2016-06-25,UEFA Euro,Switzerland,1,1,False,True,Saint-Étienne,France
2016-06-30,UEFA Euro,Portugal,1,1,False,True,Marseille,France
2016-09-04,FIFA World Cup qualification,Kazakhstan,2,2,False,False,Astana,Kazakhstan
2016-10-08,FIFA World Cup qualification,Denmark,3,2,True,False,Warsaw,Poland
2016-10-11,FIFA World Cup qualification,Armenia,2,1,True,False,Warsaw,Poland
2016-11-11,FIFA World Cup qualification,Romania,3,0,False,False,Bucharest,Romania
2016-11-14,Friendly,Slovenia,1,1,True,False,Wrocław,Poland
2017-03-26,FIFA World Cup qualification,Montenegro,2,1,False,False,Podgorica,Montenegro
2017-06-10,FIFA World Cup qualification,Romania,3,1,True,False,Warsaw,Poland
2017-09-01,FIFA World Cup qualification,Denmark,0,4,False,False,Copenhagen,Denmark
2017-09-04,FIFA World Cup qualification,Kazakhstan,3,0,True,False,Warsaw,Poland
2017-10-05,FIFA World Cup qualification,Armenia,6,1,False,False,Yerevan,Armenia
2017-10-08,FIFA World Cup qualification,Montenegro,4,2,True,False,Warsaw,Poland
2017-11-10,Friendly,Uruguay,0,0,True,False,Warsaw,Poland
2017-11-13,Friendly,Mexico,0,1,True,False,Gdańsk,Poland
2018-03-23,Friendly,Nigeria,0,1,True,False,Wrocław,Poland
2018-03-27,Friendly,South Korea,3,2,True,False,Chorzów,Poland
2018-06-08,Friendly,Chile,2,2,True,False,Poznań,Poland
2018-06-12,Friendly,Lithuania,4,0,True,False,Warsaw,Poland
2018-06-19,FIFA World Cup,Senegal,1,2,False,True,Moscow,Russia
